index,processor,year,transistors,designer,process_nm,area_mm2
92,8-core Xeon Nehalem-EX,2013,1860000000,Intel,22,256
93,8-core Core i7 Haswell-E,2013,4200000000,IBM,22,650
94,10-core Xeon Westmere-EX,2013,5000000000,Microsoft/AMD,28,363
95,Six-core zEC12,2014,1400000000,Intel,22,177
96,"Apple A8X (tri-core ARM64 ""mobile SoC"")",2014,2000000000,Apple,20,89
97,"Qualcomm Snapdragon 835 (octa-core ARM64 ""mobile SoC"")",2014,2600000000,Intel,22,355
98,8-core Itanium Poulson,2014,3000000000,Apple,20,128
99,10-core Core i7 Broadwell-E,2014,4310000000,Intel,22,541
100,"Apple A10 Fusion (quad-core ARM64 ""mobile SoC"")",2014,5560000000,Intel,22,661
101,IBM z13,2015,1750000000,Intel,14,122
102,12-core POWER8,2015,1900000000,Intel,14,133
103,"Apple A11 Bionic (hexa-core ARM64 ""mobile SoC"")",2015,3990000000,IBM,22,678
104,15-core Xeon Ivy Bridge-EX,2015,7100000000,IBM,22,678
105,8-core Ryzen,2015,10000000000,Oracle,20,
106,61-core Xeon Phi,2016,3000000000,Qualcomm,10,
107,Xbox One main SoC,2016,3200000000,Intel,14,246
108,18-core Xeon Haswell-E5,2016,3300000000,Apple,16,125
109,IBM z14,2016,7200000000,Intel,14,456
110,Xbox One X (Project Scorpio) main SoC,2017,4300000000,Apple,10,89
111,IBM z13 Storage Controller,2017,4800000000,AMD,14,192
112,22-core Xeon Broadwell-E5,2017,6100000000,IBM,14,696
113,POWER9,2017,7000000000,Microsoft/AMD,16,360
114,IBM z14 Storage Controller,2017,8000000000,IBM,14,695
115,32-core SPARC M7,2017,9700000000,IBM,14,696
116,32-core AMD Epyc,2017,19200000000,AMD,14,4
117,HiSilicon Kirin 710,2018,5500000000,Huawei,12,
118,Apple A12 Bionic,2018,6900000000,Apple,7,83.27
119,HiSilicon Kirin 980,2018,6900000000,Huawei,7,74.13
120,Qualcomm Snapdragon 8cx,2018,8500000000,Qualcomm,7,112
121,Qualcomm Snapdragon 855,2019,6700000000,Qualcomm,7,73
122,Qualcomm Snapdragon 865,2020,10300000000,Qualcomm,7,83.54
123,Apple A12X Bionic,2018,10000000000,Apple,7,122
124,Fujitsu A64FX ,2018,8786000000,Fujitsu,7,
125,Tegra Xavier SoC,2018,9000000000,Nvidia,12,350
126,AMD Ryzen 7 3700X ,2019,5990000000,AMD,7,199
127,HiSilicon Kirin 990 4G,2019,8000000000,Huawei,7,90
128,Apple A13,2019,8500000000,Apple,7,98.48
129,AMD Ryzen 9 3900X ,2019,9890000000,AMD,7,273
130,HiSilicon Kirin 990 5G,2019,10300000000,Huawei,7,113.31
131,AWS Graviton2 ,2019,30000000000,Amazon,7,
132,AMD Epyc Rome,2019,39540000000,AMD,7,1008
134,Apple A14 Bionic,2020,11800000000,Apple,5,88
135,Apple M1,2020,16000000000,Apple,5,119
136,HiSilicon Kirin 9000,2020,15300000000,Huawei,5,114
137,Apple A15,2021,15000000000,Apple,5,
138,AMD Ryzen 7 5800H,2021,10700000000,AMD,5,180
